t,n_bits,p,prep_init,cost_total,prep_in_mixers,reflection_anc,reflection_noanc,total_depth_anc,total_depth_noanc,n_ancillas_anc
297,2376,6,495,6,5940,162,28518,6603,34959,2375
298,2384,6,495,6,5940,162,28614,6603,35055,2383
299,2392,6,495,6,5940,162,28710,6603,35151,2391
300,2400,6,495,6,5940,162,28806,6603,35247,2399
301,2408,6,495,6,5940,162,28902,6603,35343,2407
302,2416,6,495,6,5940,162,28998,6603,35439,2415
303,2424,6,495,6,5940,162,29094,6603,35535,2423
304,2432,6,495,6,5940,162,29190,6603,35631,2431
305,2440,6,495,6,5940,162,29286,6603,35727,2439
306,2448,6,495,6,5940,162,29382,6603,35823,2447
307,2456,6,495,6,5940,162,29478,6603,35919,2455
308,2464,6,495,6,5940,162,29574,6603,36015,2463
309,2472,6,495,6,5940,162,29670,6603,36111,2471
310,2480,6,495,6,5940,162,29766,6603,36207,2479
311,2488,6,495,6,5940,162,29862,6603,36303,2487
312,2496,6,495,6,5940,162,29958,6603,36399,2495
313,2504,6,495,6,5940,162,30054,6603,36495,2503
314,2512,6,495,6,5940,162,30150,6603,36591,2511
315,2520,6,495,6,5940,162,30246,6603,36687,2519
316,2528,6,495,6,5940,162,30342,6603,36783,2527
317,2536,6,495,6,5940,162,30438,6603,36879,2535
318,2544,6,495,6,5940,162,30534,6603,36975,2543
319,2552,6,495,6,5940,162,30630,6603,37071,2551
320,2560,6,495,6,5940,162,30726,6603,37167,2559
321,2568,6,495,6,5940,162,30822,6603,37263,2567
322,2576,6,495,6,5940,162,30918,6603,37359,2575
323,2584,6,495,6,5940,162,31014,6603,37455,2583
324,2592,6,495,6,5940,162,31110,6603,37551,2591
325,2600,6,495,6,5940,162,31206,6603,37647,2599
326,2608,6,495,6,5940,162,31302,6603,37743,2607
327,2616,6,495,6,5940,162,31398,6603,37839,2615
328,2624,6,495,6,5940,162,31494,6603,37935,2623
329,2632,6,495,6,5940,162,31590,6603,38031,2631
330,2640,6,495,6,5940,162,31686,6603,38127,2639
331,2648,6,495,6,5940,162,31782,6603,38223,2647
332,2656,6,495,6,5940,162,31878,6603,38319,2655
333,2664,6,495,6,5940,162,31974,6603,38415,2663
334,2672,6,495,6,5940,162,32070,6603,38511,2671
335,2680,6,495,6,5940,162,32166,6603,38607,2679
336,2688,6,495,6,5940,162,32262,6603,38703,2687
337,2696,6,495,6,5940,162,32358,6603,38799,2695
338,2704,6,495,6,5940,162,32454,6603,38895,2703
339,2712,6,495,6,5940,162,32550,6603,38991,2711
340,2720,6,495,6,5940,162,32646,6603,39087,2719
341,2728,6,495,6,5940,162,32742,6603,39183,2727
342,2736,6,495,6,5940,162,32838,6603,39279,2735
343,2744,6,495,6,5940,162,32934,6603,39375,2743
344,2752,6,495,6,5940,162,33030,6603,39471,2751
345,2760,6,495,6,5940,162,33126,6603,39567,2759
346,2768,6,495,6,5940,162,33222,6603,39663,2767
347,2776,6,495,6,5940,162,33318,6603,39759,2775
348,2784,6,495,6,5940,162,33414,6603,39855,2783
349,2792,6,495,6,5940,162,33510,6603,39951,2791
350,2800,6,495,6,5940,162,33606,6603,40047,2799
351,2808,6,495,6,5940,162,33702,6603,40143,2807
352,2816,6,495,6,5940,162,33798,6603,40239,2815
353,2824,6,495,6,5940,162,33894,6603,40335,2823
354,2832,6,495,6,5940,162,33990,6603,40431,2831
355,2840,6,495,6,5940,162,34086,6603,40527,2839
356,2848,6,495,6,5940,162,34182,6603,40623,2847
357,2856,6,495,6,5940,162,34278,6603,40719,2855
358,2864,6,495,6,5940,162,34374,6603,40815,2863
359,2872,6,495,6,5940,162,34470,6603,40911,2871
360,2880,6,495,6,5940,162,34566,6603,41007,2879
361,2888,6,495,6,5940,162,34662,6603,41103,2887
362,2896,6,495,6,5940,162,34758,6603,41199,2895
363,2904,6,495,6,5940,162,34854,6603,41295,2903
364,2912,6,495,6,5940,162,34950,6603,41391,2911
365,2920,6,495,6,5940,162,35046,6603,41487,2919
366,2928,6,495,6,5940,162,35142,6603,41583,2927
367,2936,6,495,6,5940,162,35238,6603,41679,2935
368,2944,6,495,6,5940,162,35334,6603,41775,2943
369,2952,6,495,6,5940,162,35430,6603,41871,2951
370,2960,6,495,6,5940,162,35526,6603,41967,2959
371,2968,6,495,6,5940,162,35622,6603,42063,2967
372,2976,6,495,6,5940,162,35718,6603,42159,2975
373,2984,6,495,6,5940,162,35814,6603,42255,2983
374,2992,6,495,6,5940,162,35910,6603,42351,2991
375,3000,6,495,6,5940,162,36006,6603,42447,2999
376,3008,6,495,6,5940,162,36102,6603,42543,3007
377,3016,6,495,6,5940,162,36198,6603,42639,3015
378,3024,6,495,6,5940,162,36294,6603,42735,3023
379,3032,6,495,6,5940,162,36390,6603,42831,3031
380,3040,6,495,6,5940,162,36486,6603,42927,3039
381,3048,6,495,6,5940,162,36582,6603,43023,3047
382,3056,6,495,6,5940,162,36678,6603,43119,3055
383,3064,6,495,6,5940,162,36774,6603,43215,3063
384,3072,6,495,6,5940,162,36870,6603,43311,3071
